Ahvaz,Ahvaz:PN
Ahvenanmaa,Ahvenanmaa:PN
Ahwaz,Ahwaz:PN
Aileen,Aileen:PN
Aintab,Aintab:PN
Ainu,Ainu:A
Ainu,Ainu:N
Ainus,Ainu:Npl
Airedale,Airedale:N
Airedales,Airedale:Npl
Aisha,Aisha:PN
Aisne,Aisne:PN
Aix-en-Provence,Aix-en-Provence:PN
Aix-la-Chapelle,Aix-la-Chapelle:PN
Aix,Aix:PN
Aiyina,Aiyina:PN
Ajaccio,Ajaccio:PN
Ajax,Ajax:PN
Ajmer,Ajmer:PN
Akan,Akan:A
Akan,Akan:N
Akans,Akan:Npl
Akbar,Akbar:PN
AkhaÔa,AkhaÔa:PN
Akhenaten,Akhenaten:PN
Akhenaton,Akhenaton:PN
Akihito,Akihito:PN
Akita,Akita:N
Akita,Akita:PN
Akitas,Akita:Npl
Akkad,Akkad:PN
Akkadian,Akkadian:A
Akkadian,Akkadian:N
Akkadians,Akkadian:Npl
Akko,Akko:PN
Akron,Akron:PN
Aksum,Aksum:PN
Aktyubinsk,Aktyubinsk:PN
Al-Obeid,Al-Obeid:PN
Al-Ubayyid,Al-Ubayyid:PN
Al,Al:PN
Ala,Ala:PN
Alabama,Alabama:PN
Alabaman,Alabaman:A
Alabaman,Alabaman:N
Alabamans,Alabaman:Npl
Alabamian,Alabamian:A
Alabamian,Alabamian:N
Alabamians,Alabamian:Npl
Aladagh,Aladagh:PN
Aladdin,Aladdin:PN
Alagez,Alagez:PN
Alagoas,Alagoas:PN
Alamanni,Alamanni:N
Alamannis,Alamanni:Npl
Alameda,Alameda:PN
Alamine,Alamine:PN
Alamo,Alamo:PN
Alamogordo,Alamogordo:PN
Alan,Alan:PN
Alaric,Alaric:PN
Alas,Alas:PN
Alaska,Alaska:PN
Alaskan,Alaskan:A
Alaskan,Alaskan:N
Alaskans,Alaskan:Npl
Alb,Alb:PN
Alba,Alba:PN
Albacete,Albacete:PN
Alban,Alban:PN
Albania,Albania:PN
Albanian,Albanian:A
Albanian,Albanian:N
Albanians,Albanian:Npl
Albany,Albany:PN
Alberich,Alberich:PN
Albert,Albert:PN
Alberta,Alberta:PN
Alberton,Alberton:PN
Albigenses,Albigenses:Npl
Albigensian,Albigensian:A
Albigensian,Albigensian:N
Albigensians,Albigensian:Npl
Albion,Albion:PN
Alboin,Alboin:PN
Albucasis,Albucasis:PN
Albuquerque,Albuquerque:PN
Alcaeus,Alcaeus:PN
Alcaic,Alcaic:A
Alcaic,Alcaic:N
Alcaics,Alcaic:Npl
Alcatraz,Alcatraz:PN
Alcazar,Alcazar:N
Alcazars,Alcazar:Npl
Alcestis,Alcestis:PN
Alcibiades,Alcibiades:PN
Alcides,Alcides:PN
Alcino¸s,Alcino¸s:PN
Alcmene,Alcmene:PN
Alcoran,Alcoran:N
Alcorans,Alcoran:Npl
AlcorcÛn,AlcorcÛn:PN
Alcott,Alcott:PN
Alcuin,Alcuin:PN
Alcyone,Alcyone:PN
Ald,Ald:PN
Aldan,Aldan:PN
Aldebaran,Aldebaran:PN
Alderney,Alderney:N
Alderneys,Alderney:Npl
Aldine,Aldine:A
Aldine,Aldine:N
Aldines,Aldine:Npl
Aldm,Aldm:PN
Alecto,Alecto:PN
Alemanni,Alemanni:Npl
Alemannic,Alemannic:A
Alemannic,Alemannic:N
Alemannics,Alemannic:Npl
Alembert,Alembert:PN
AlenÁon,AlenÁon:N
AlenÁons,AlenÁon:Npl
Alep,Alep:PN
Aleppo,Aleppo:PN
Alessandria,Alessandria:PN
Aleut,Aleut:A
Aleut,Aleut:N
Aleutian,Aleutian:A
Aleutian,Aleutian:N
Aleutians,Aleutian:Npl
Aleutians,Aleutians:PN
Aleuts,Aleut:Npl
Alexander,Alexander:N
Alexander,Alexander:PN
Alexanders,Alexander:Npl
Alexandra,Alexandra:PN
Alexandretta,Alexandretta:PN
Alexandria,Alexandria:PN
Alexandrian,Alexandrian:A
Alexandrine,Alexandrine:A
Alexandrine,Alexandrine:N
Alexandrines,Alexandrine:Npl
Alexandroupolis,Alexandroupolis:PN
Alexis,Alexis:PN
Alfred,Alfred:PN
Alfreda,Alfreda:PN
Alg,Alg:PN
Algeciras,Algeciras:PN
Algeria,Algeria:PN
Algerian,Algerian:A
Algerian,Algerian:N
Algerians,Algerian:Npl
Algerine,Algerine:A
Algerine,Algerine:N
Algerines,Algerine:Npl
Algernon,Algernon:PN
Algiers,Algiers:PN
Algol,Algol:N
Algol,Algol:PN
Algols,Algol:Npl
Algonkian,Algonkian:A
Algonkian,Algonkian:N
Algonkians,Algonkian:Npl
Algonkin,Algonkin:N
Algonkins,Algonkin:Npl
Algonquian,Algonquian:A
Algonquian,Algonquian:N
Algonquians,Algonquian:Npl
Algonquin,Algonquin:A
Algonquin,Algonquin:N
Algonquins,Algonquin:Npl
Alhambra,Alhambra:PN
Alhambresque,Alhambresque:A
Ali,Ali:PN
Alicante,Alicante:PN
Alice,Alice:PN
Alicia,Alicia:PN
Aligarh,Aligarh:PN
Alioth,Alioth:PN
Alison,Alison:PN
Alistair,Alistair:PN
Alkmaar,Alkmaar:PN
Alkoran,Alkoran:PN
Allah,Allah:PN
Allahabad,Allahabad:PN
Allan,Allan:PN
Alleghenies,Alleghenies:PN
Allegheny,Allegheny:PN
Allen,Allen:PN
Allentown,Allentown:PN
Allhallows,Allhallows:N
Allhallowses,Allhallows:Npl
Allhallowtide,Allhallowtide:N
Allhallowtides,Allhallowtide:Npl
Allied,Allied:A
Allier,Allier:PN
Allies,Allies:Npl
Alma-Ata,Alma-Ata:PN
Alma,Alma:PN
Almagest,Almagest:N
Almagests,Almagest:Npl
Almelo,Almelo:PN
AlmerÌa,AlmerÌa:PN
Alost,Alost:PN
Aloysius,Aloysius:PN
Alpha,Alpha:N
Alphas,Alpha:Npl
Alpheus,Alpheus:PN
Alphonso,Alphonso:PN
Alpine,Alpine:A
Alpinist,Alpinist:N
Alpinists,Alpinist:Npl
Alps,Alps:PN
Alsace-Lorraine,Alsace-Lorraine:PN
Alsace,Alsace:PN
Alsatian,Alsatian:A
Alsatian,Alsatian:N
Alsatians,Alsatian:Npl
Alta,Alta:PN
Altadena,Altadena:PN
Altaic,Altaic:A
Altaic,Altaic:N
Altaics,Altaic:Npl
Altair,Altair:PN
Altamira,Altamira:PN
Altdorf,Altdorf:PN
Althea,Althea:PN
Altoona,Altoona:PN
Alundum,Alundum:PN
Alva,Alva:PN
Alvah,Alvah:PN
Alvin,Alvin:PN
Am,Am:PN
Amagasaki,Amagasaki:PN
Amalek,Amalek:PN
Amalekite,Amalekite:N
Amalekites,Amalekite:Npl
Amalthaea,Amalthaea:PN
Amalthea,Amalthea:PN
Amanda,Amanda:PN
Amap·,Amap·:PN
Amaretto,Amaretto:N
Amarettos,Amaretto:Npl
Amarillo,Amarillo:PN
Amati,Amati:N
Amatis,Amati:Npl
Amazon,Amazon:N
Amazonas,Amazonas:PN
Amazonian,Amazonian:A
Amazons,Amazon:Npl
Amb,Amb:PN
Ambato,Ambato:PN
Amberlite,Amberlite:PN
Amboina,Amboina:PN
Amboise,Amboise:PN
Ambon,Ambon:PN
Ambrose,Ambrose:PN
Ambrosian,Ambrosian:A
Amelia,Amelia:PN
Amen-Ra,Amen-Ra:PN
Amen,Amen:PN
Amenhotep,Amenhotep:PN
Amenophis,Amenophis:PN
Amer,Amer:PN
Amerasian,Amerasian:N
Amerasians,Amerasian:Npl
Ameri-,Ameri-:PN
America,America:PN
American,American:A
American,American:N
Americana,Americana:Npl
Americanism,Americanism:N
Americanisms,Americanism:Npl
Americanist,Americanist:N
Americanists,Americanist:Npl
Americanization,Americanization:N
Americanizations,Americanization:Npl
Americanize,Americanize:V
Americanized,Americanize:Vpp
Americanized,Americanize:Vpt
Americanizes,Americanize:V3sg
Americanizing,Americanize:Ving
Americans,American:Npl
Amerika,Amerika:PN
Amerind,Amerind:N
Amerindian,Amerindian:A
Amerindian,Amerindian:N
Amerindians,Amerindian:Npl
Amerindic,Amerindic:A
Amerinds,Amerind:Npl
Amersfoort,Amersfoort:PN
Ames,Ames:PN
Ameslan,Ameslan:N
Ameslans,Ameslan:Npl
Amex,Amex:N
Amexes,Amex:Npl
Amhara,Amhara:PN
Amharic,Amharic:N
Amharics,Amharic:Npl
Amiens,Amiens:PN
Amish,Amish:A
Amish,Amish:Npl
Amman,Amman:PN
Ammon,Ammon:PN
Ammonite,Ammonite:A
Ammonite,Ammonite:N
Ammonites,Ammonite:Npl
Amn,Amn:PN
Amon-Ra,Amon-Ra:PN
Amon-Re,Amon-Re:PN
Amon,Amon:PN
Amorite,Amorite:N
Amorites,Amorite:Npl
Amos,Amos:PN
Amoy,Amoy:PN
Amphion,Amphion:PN
Amphitrite,Amphitrite:PN
Amphitryon,Amphitryon:PN
Amravati,Amravati:PN
Amritsar,Amritsar:PN
Amstelveen,Amstelveen:PN
Amsterdam,Amsterdam:PN
Amtrak,Amtrak:PN
Amun,Amun:PN
Amur,Amur:PN
Amy,Amy:PN
Amytal,Amytal:PN
Anabaptism,Anabaptism:N
Anabaptisms,Anabaptism:Npl
Anabaptist,Anabaptist:A
Anabaptist,Anabaptist:N
Anabaptists,Anabaptist:Npl
Anabases,Anabasis:Npl
Anabasis,Anabasis:N
Anacreon,Anacreon:PN
Anacreontic,Anacreontic:A
Anacreontic,Anacreontic:N
Anacreontics,Anacreontic:Npl
Anadir,Anadir:PN
Anadyr,Anadyr:PN
Anaheim,Anaheim:PN
Ananias,Ananias:PN
Anapurna,Anapurna:PN
Anastasia,Anastasia:PN
Anatolia,Anatolia:PN
Anatolian,Anatolian:A
Anatolian,Anatolian:N
Anatolians,Anatolian:Npl
Anaxagoras,Anaxagoras:PN
Anaximander,Anaximander:PN
Anchises,Anchises:PN
Anchorage,Anchorage:PN
Ancona,Ancona:PN
Andalusia,Andalusia:PN
Andalusian,Andalusian:A
Andalusian,Andalusian:N
Andalusians,Andalusian:Npl
Andean,Andean:A
Anderson,Anderson:PN
Andersonville,Andersonville:PN
Andizhan,Andizhan:PN
Andorra,Andorra:PN
Andorran,Andorran:A
Andorran,Andorran:N
Andorrans,Andorran:Npl
Andrea,Andrea:PN
Andrew,Andrew:PN
Androcles,Androcles:PN
Androclus,Androclus:PN
Andromache,Andromache:PN
Andromeda,Andromeda:PN
Andropov,Andropov:PN
Andvari,Andvari:PN
Angara,Angara:PN
Angarsk,Angarsk:PN
Angela,Angela:PN
Angeleno,Angeleno:N
Angelenos,Angeleno:Npl
Angeles,Angeles:PN
Angelina,Angelina:PN
Angelus,Angelus:N
Angeluses,Angelus:Npl
Angers,Angers:PN
Angevin,Angevin:A
Angevin,Angevin:N
Angevine,Angevine:A
Angevine,Angevine:N
Angevines,Angevine:Npl
Angevins,Angevin:Npl
Angkor,Angkor:PN
Angles,Angles:Npl
